Word,Occurrences,TotalSteps
lumbering,2,13
brings,5,51
perked,1,10
escape,9,108
poetry,11,119
adding,15,191
romps,2,24
consented,7,90
written,19,293
rosy,27,420
share,13,219
tails,3,38
awhile,1,19
tisnt,2,20
foibles,1,17
meanness,1,16
bolted,3,20
estimate,1,14
repose,6,37
rekindled,1,12
undisguised,2,20
semioccasional,1,10
closed,7,65
casts,2,17
privately,7,64
palace,5,20
drops,7,89
phine,3,6
region,1,3
names,10,138
still,94,1397
tantalizing,1,24
coop,1,23
vocal,1,22
exonerate,1,21
tenders,1,20
conquering,3,23
viciously,1,18
reported,1,17
carrol,16,82
industrious,2,23
manful,2,22
benefactor,1,13
mourning,1,12
confessing,1,11
jackdaw,1,10
strength,14,87
patience,34,365
hugging,4,14
cannot,20,242
sudden,41,473
croaked,3,17
bid,5,61
upstairs,21,293
shadowy,3,33
sugarplum,1,25
blarneystone,1,24
volcano,4,29
realize,3,30
salads,1,21
blisters,1,20
compensation,2,25
hymn,4,30
oil,2,21
treadmill,1,16
postman,2,17
leisurely,4,46
graciously,8,54
telegrams,2,14
endeared,2,26
vere,1,10
attracts,1,9
fare,6,78
slowly,33,470
respect,28,371
les,1,5
waving,8,89
blue,65,863
ever,174,2901
dignity,14,262
consciously,1,15
cages,1,14
conferences,1,13
screwed,1,12
serpent,1,11
confides,1,10
mother:,1,9
surpass,1,8
fisher,2,8
humor,6,36
womans,8,69
bell,12,76
panes,1,3
let,163,1486
worst,10,90
squalling,1,14
huffy,1,13
vehicle,2,15
desperandum,1,11
withdrawn,2,14
attracted,4,22
balls,1,8
aches,3,15
thrash,2,11
stained,2,8
send,39,288
harder,18,158
big,89,808
planned,13,138
yards,2,22
necessaries,2,21
undone,1,19
coquettish,3,26
accordingly,2,22
underside,1,16
stars,3,29
bosoms,1,14
bijou,1,13
heated,1,12
salad,7,43
chicks,1,10
twirled,2,22
counting,2,22
solitary,9,102
cane,4,36
hadnt,30,343
undecided,6,68
those,77,1114
sure,86,1247
said,827,11500
&,1,22
faintest,1,21
weaned,1,20
flourishing,2,23
interference,1,18
summary,2,21
toy,2,19
implore,2,17
proxy,2,19
facinating,1,13
leaping,1,12
delve,1,11
languid,1,10
start,13,100
youve,29,260
hesitating,1,7
gruff,5,24
trump,5,48
croak,8,61
true,43,647
conquered,7,108
jewelry,1,1
pauses,1,21
establishing,1,20
obstreperous,1,19
buttoned,2,19
threaten,1,17
suiting,1,16
conflagration,1,15
absent,11,63
upright,2,19
chere,1,12
chuckled,1,11
paw),1,10
properly,12,106
ob,2,9
dreary,4,33
telling,16,155
speaks,6,71
scorn,3,28
vittles,2,13
neglected,12,158
nearer,14,157
draggle,1,26
magical,1,25
fiddle,1,24
rummaged,1,23
graduates,1,22
rendering,1,21
feelers,1,20
suggest,3,27
upsets,1,18
coveted,5,37
harden,1,16
peggy,1,15
taper,1,14
receiving,3,25
sturdily,1,12
coverlet,2,13
captain,6,36
mort,1,9
ruffled,8,78
elegance,7,57
flown,2,7
geranium,1,5
prisoner,3,23
sister,68,825
handsomest,1,2
got,255,3421
fatherland,1,18
lastly,1,17
unquiet,1,16
balustrade,2,16
capaline,1,14
battered,1,13
integrity,2,14
dragon,2,13
starch,2,11
erect,5,34
wrote,25,154
blooming,2,18
dickens,5,35
spoil,18,125
luck,2,13
spangles,1,3
slammed,2,12
somewhere,6,62
unwomanly,1,17
prosperous,2,18
conciliatory,1,15
farm,1,14
lurch,2,16
withdrew,1,12
goodly,2,18
laboured,1,10
snip,1,9
it),2,16
topsl,1,7
stealthy,2,18
tree,16,101
differ,2,16
interrupted,7,72
remarkably,6,46
sharp,23,214
traits,1,16
handshake,2,16
unmercifully,1,14
frankfurt,1,13
crowning,4,27
wherry,1,11
fill,10,56
pitcher,2,17
confounded,5,31
hateful,1,7
impossible,32,229
constantly,4,24
nestled,5,42
belt,2,10
bags,5,42
of,3402,38197
sleepless,1,16
roamed,4,20
corpse,1,14
darned,1,13
defense,1,12
forboding,1,11
strongminded,1,10
frowning,1,9
unlock,1,8
weathercock,5,29
disfavor,1,6
resolve,6,44
address,4,21
further,9,78
exercise,17,160
wind,21,226
linger,1,26
concocting,1,25
proves,1,24
politics,5,27
nassau,1,22
loveliest,2,22
cheese,2,21
breakages,1,19
homeward,3,33
doves,2,18
whistling,2,23
byes,2,23
worktable,2,25
inaudibly,1,13
undertaken,1,12
denial,4,32
savage,1,10
sail,6,59
gardiners,2,16
oh,138,1579
scorched,4,34
papers,13,181
santa,1,4
wine,11,157
clever,8,109
across,20,383
scorching,1,23
chessboard,1,22
plateau,1,21
saunter,1,20
bulbs,1,19
magnanimity,2,19
capricious,2,24
tape,1,16
chests,4,42
woes,1,14
insensibly,1,13
madam:,1,12
pucker,2,19
rode,6,42
april,3,33
pricked,3,33
mortification,3,24
fresh,30,317
event,3,31
leading,4,47
stalked,5,30
sick,34,452
gentlemanly,5,46
soothes,1,22
blur,1,21
wing,1,20
prospering,1,19
masterly,1,18
strikes,1,17
sublime,1,16
enabled,1,15
couples,3,19
fighter,1,13
widows,1,12
execute,1,11
streamed,2,21
milkman,1,9
spire,1,8
croaker,1,7
pudding,8,74
assured,5,71
nightingales,1,4
coralline,1,3
hurting,2,21
attitudes,3,33
surrendering,1,26
millennium,1,25
sentiments,1,24
repress,1,23
ransacked,1,22
counts,1,21
vengeance,1,20
slopbowl,1,19
romances,4,29
stalks,1,17
report,6,28
scolds,1,15
importance,1,14
criticisms,1,13
shining,10,89
jerk,2,18
refuge,9,80
says,52,516
villains,1,8
arose,4,44
resolution,10,126
lids,3,43
lazy,16,277
vivan,1,3
delightful,28,512
neednt,23,402
joian,1,19
forgif,1,18
dates,1,17
fished,1,16
rained,2,17
larger,1,14
concerned,1,13
thoughtlessness,1,12
pinks,1,11
thrones,1,10
demurely,2,17
coral,2,15
dearer,4,36
refractory,3,24
cabinets,1,5
shiver,4,31
blanket,3,31
bit,48,464
began,153,1716
oblivious,1,22
thither,1,21
recognize,2,22
exclusion,1,19
berlin,3,20
haughty,4,22
imbecile,1,16
notions,2,21
police,2,19
confided,4,30
opposition,3,23
2,3,15
prices,2,19
dissatisfaction,2,20
extinguish,1,8
pettishly,2,12
hampers,1,6
oration,2,19
frank,22,138
increased,5,50
reminds,4,34
irascible,3,16
pickers,1,16
opinions,2,16
gallows,1,14
frolicsome,1,13
damask,1,12
polish,6,32
queerly,2,15
kate,28,49
housekeeping,7,42
packing,1,7
italians,2,16
rains,1,5
wink,1,4
pulling,6,60
had,1063,10560
on,963,10573
carrols,2,24
trinkets,2,23
byronic,1,21
balcony,2,21
amuses,1,19
costume,4,25
retaliation,1,17
spares,2,17
scoldings,2,24
market,4,23
behaving,2,16
culprits,2,20
unseen,3,36
prospect,15,141
spanish,1,9
maam,22,204
description,4,27
opening,9,82
ceremonies,5,52
kind,112,1561
sent,52,675
cant,187,2858
money,92,1524
sowing,1,22
monosyllable,2,22
haf,31,65
ledge,2,21
killarney,2,19
production,1,17
columns,2,21
mantlepiece,3,27
serenely,1,14
devices,6,46
sickness,1,12
smiles,6,34
turtles,2,17
beaming,6,57
contrasted,3,34
prepare,5,46
bracelets,2,13
acted,6,68
mount,1,4
costing,1,3
pedros,1,2
happier,8,110
writ,1,25
patronize,1,24
luggage,1,23
baptiste,3,24
that),1,21
scholar,3,23
blandly,3,26
malicious,2,24
wrought,4,31
sob,7,49
authoress,4,28
develops,1,14
puns,1,13
plantation,1,12
worth,20,185
winked,1,10
regretted,9,96
tucks,2,14
gracefully,10,119
paused,17,225
agreeable,22,304
carried,19,301
mittens,2,23
frightened,22,316
very,492,8155
prince,2,24
graduated,1,22
gain,3,26
footed,2,24
phantom,4,34
quandary,2,24
cements,1,17
congratulate,3,32
advising,1,15
moralize,1,14
caroline,1,13
earnestness,4,36
7th,1,11
castles,5,29
trembled,6,44
topsy,8,80
uncle,19,241
urgency,1,6
putting,26,274
absurd,13,156
boys,101,1560
king,7,67
or,435,6978
precocious,4,27
perplex,1,23
minnie,4,25
bedside,3,27
denouement,1,20
ammon,1,19
rewrite,1,18
blew,4,33
darlings,2,17
subjection,2,24
headfirst,1,14
pitch,2,21
equal,8,80
tres,2,21
schoolgirl,1,10
expressive,5,64
lifts,1,8
affectionately,2,21
chance,22,319
tastes,7,81
ahs,1,4
agitation,1,3
beggin,1,2
cheery,9,97
catherine,1,23
dodos,1,22
inevitable,2,22
condescended,2,23
cavendish,1,19
sells,1,18
cheerily,1,17
creep,1,16
feels,9,51
appetites,1,14
pitched,2,15
bird,16,110
retired,8,62
kneel,1,10
rainy,5,55
countenance,15,146
calls,20,213
united,1,6
frolic,7,95
dressing,14,130
least,30,418
within,14,223
quietly,39,661
clothesbrush,1,9
smelled,1,8
sneaking,1,7
promenading,2,9
assert,3,13
blushes,1,4
groom,1,3
reproachfully,3,13
bloomed,3,13
desultory,1,18
bois,1,17
westminster,1,16
vacancies,1,15
perishable,1,14
somersault,1,13
driving,2,13
comment,2,15
chilled,2,15
officers,2,16
motioned,1,8
singers,1,7
visiting,4,17
neighborly,4,17
quel,1,4
keeping,20,185
enjoy,59,698
pilgrims,10,78
exploring,1,23
freshest,1,22
coals,1,21
snake,1,20
outset,1,19
lighting,1,18
reverie,3,27
workaday,2,23
tantrums,1,15
rule,6,52
wearin,2,14
proved,14,117
anointed,1,11
rash,9,90
yielded,3,16
bridled,1,8
inmost,1,7
morally,2,18
performance,6,59
inside,10,124
preparing,9,123
ow,1,2
asked,252,3588
autocrat,1,22
learns,1,21
gabble,1,20
woodbine,1,19
bespattered,1,18
bounce),1,17
streamer,1,16
uncomplainingly,1,15
minna,4,34
meshes,1,13
keg,1,12
swell,1,11
race,6,45
guard,10,78
anxious,39,327
grandpa,23,194
heeled,4,23
thrill,3,33
trusted,4,47
though,180,2503
should,192,2888
mother,327,4580
(as,1,22
manger,2,23
discomfiture,1,20
yard,1,19
forebearing,1,18
contradick,1,17
misfortune,2,19
decks,2,19
tore,5,35
star,2,19
confide,2,18
regarded,10,93
soothed,5,48
tenderest,6,59
tempers,5,41
parrot,4,40
perfectly,29,348
country,11,106
flattering,3,32
cheers,4,29
turns,8,113
comical,18,262
unfinished,4,23
cotillion,1,19
opportunities,3,24
persuade,1,17
deared,1,16
cherry,4,18
prescribed,1,14
stubborn,1,13
testiment,2,13
endure,1,11
wield,1,10
deposited,1,9
brotherly,8,83
inquire,4,27
dining,6,57
lake,11,151
dampness,2,21
daughters,18,191
temper,23,238
message,4,43
pierce,1,28
embalm,1,27
statue,4,29
wherein,2,28
delays,1,24
serene,11,69
wrenched,1,22
nettled,4,39
testing,1,20
commander,5,38
variable,1,18
portfolio,5,39
horns,1,16
trunk,5,36
breaks,3,40
attack,4,55
farther,1,12
sealed,3,41
foe,1,10
glorious,6,92
knees,8,137
adventure,2,29
whenever,16,263
heel,3,43
greeted,4,75
grand,23,404
keys,5,68
butter,7,106
talented,1,25
inconsolable,1,24
worshiped,1,23
plunge,2,25
franz,4,32
har,1,20
parks,2,21
cambric,2,25
chapel,5,28
freshen,1,16
tying,2,18
outbreak,1,14
intonation,1,13
supporting,1,12
messroom,1,11
epitaph,1,10
tempted,6,54
eaten,3,35
flashed,3,25
bronzes,1,6
jeune,1,5
gossip,20,238
compliments,10,118
elegantly,1,2
thin,20,321
wouldst,1,19
reportable,1,18
prophetic,1,17
exasperated,1,16
keats,1,15
fog,3,21
mock,1,13
beliefs,3,22
dolefully,1,11
players,1,10
meditative,3,27
sugar,13,95
flowery,2,18
beauties,2,16
son,18,155
useful,29,249
chorus,3,11
has,158,1825
softened,6,67
riders,1,22
kicked,2,23
republican,1,20
celebrities,2,20
philosophy,4,27
sands,1,17
meddle,1,16
cases,3,21
treats,1,14
fastening,2,17
dusted,2,15
traitor,2,23
intelligent,3,35
rack,3,18
daring,3,27
believing,5,62
amused,20,203
hat,56,645
except,39,494
spared,5,62
thirteen,2,13
lessons,33,471
nourish,1,18
useless,3,19
significantly,1,16
ardent,3,23
lakes,2,18
overwhelmed,2,18
pave,1,12
trickled,1,11
critic,1,10
emotions,4,35
everyones,2,10
flaming,1,7
olives,1,6
unlike,5,47
enacted,2,7
smiled,48,417
marked,7,76
dancing,12,114
imperceptibly,1,19
rampage,1,18
moneys,1,17
coughed,1,16
moulding,1,15
marrying,2,20
enthroned,2,20
churchyard,1,12
aye,7,29
unite,1,10
properties,1,9
hoarsely,1,8
chillen,1,7
soldiers,5,47
carries,1,5
stay,64,686
face,254,2967
returned,70,871
words,111,1517
delicately,1,24
metaphorically,1,23
addressing,1,22
mists,1,21
pipe,1,20
bared,1,19
seaside,2,19
swarming,1,17
turkey,3,18
contrast,4,35
jabbering,1,14
moss,1,13
puppies,1,12
worship,3,21
irksome,3,24
grieved,7,39
offering,9,72
sleigh,2,17
desire,17,206
delights,5,62
entirely,20,248
picture,27,342
this,399,5786
down,291,4484
alders,1,27
hoist,1,26
contradict,1,25
voluminous,2,27
criticizing,1,23
direct,1,22
denis,1,21
fragments,4,31
effusion,1,19
escorted,3,33
hideous,1,17
manifest,1,16
pc,3,17
confession,2,17
strengthened,3,36
torn,6,49
katy,2,17
tasted,3,24
heavy,29,272
bliss,5,53
tramped,3,27
whisked,9,104
objection,4,52
side,53,757
end,56,885
most,151,2679
hours,23,402
fulfill,1,21
hay,1,20
mutual,3,21
sot,1,18
curves,1,17
benevolence,1,16
dejected,1,15
bijouterie,1,14
cultivating,1,13
nightingale,1,12
predictions,1,11
renewed,1,10
passions,3,26
prevent,3,28
mild,9,37
aid,3,10
yarn,1,5
setting,7,51
flowers,62,543
wings,4,36
quiet,70,610
blent,1,23
rainbows,1,22
distorting,1,21
historian,1,20
balmy,1,19
confidante,2,21
trustful,1,17
starred,1,16
esteem,1,15
nil,1,14
disgraceful,1,13
imagining,3,19
saint,12,71
ennui,2,11
distress,1,9
twitching,1,8
copy,11,66
blushed,8,50
apparition,2,11
baize,1,4
hopeful,10,105
slang,6,53
wanted,68,815
impulses,2,17
agreeably,1,15
missing,2,15
rhine,1,13
cafes,1,12
explanations,2,16
relapse,1,10
protested,2,10
member,9,31
stooped,5,35
plumes,1,6
slamming,7,41
clapping,2,12
diligently),1,3
obeyed,7,60
fierce,4,33
lunatics,1,25
surpassing,1,24
sow,2,24
defiant,2,26
chaotic,3,27
corneliuss,1,20
prediction,1,19
roguish,1,18
including,1,17
garnet,1,16
sardines,1,15
crocky,2,20
radiant,1,13
18,1,12
chewing,2,16
cards,5,36
ice,17,83
dauntless,1,8
smiling,35,444
handsome,42,536
initials,2,26
full,122,1875
patting,3,38
arsenic,1,2
such,229,4092
hushing,1,14
pegged,1,13
goodnatured,1,12
bibs,1,11
potter,1,10
grimly,1,9
pallor,1,8
selling,4,18
bringing,7,32
ghostly,2,10
respectfully,10,70
materials,1,3
demands,1,2
eager,15,104
misfortunes,1,24
louvre,1,23
complaint,2,24
refraining,1,21
harmonious,1,20
mark,1,19
nip,1,18
buttons,10,66
throats,1,16
points,6,51
vaughn,5,44
immortal,4,46
elephantine,1,12
fools,2,18
cinderella,1,10
acts,2,24
pricking,1,8
ridiculous,7,68
twitch,1,6
clanking,1,5
nurse,10,133
clattering,1,3
detest,2,22
for,2202,38719
recognized,1,24
musicians,1,23
toothbrush,1,22
scrollwork,1,21
hooting,1,20
complimentary,2,25
mania,4,25
astride,1,17
commanded,5,29
bullet,1,15
tells,5,30
mingled,9,79
complains,2,19
ravished,1,11
suck,1,10
morsel,3,39
ellen,4,29
monitor,1,7
corners,6,79
suits,7,97
everlasting,3,29
quiver,6,91
spend,19,265
sighed,33,486
horn,1,30
marm,1,29
resume,2,30
guilt,1,27
napoleons,1,26
gush,1,25
forgiveness,1,24
repaying,1,23
askew,2,23
vestige,1,21
reglar,1,20
boiler,1,19
prevail,1,18
haymaking,1,17
nautical,2,20
nettles,1,15
mystery,6,60
dogs,3,27
freely,10,166
closets,1,11
passionate,4,63
powder,2,13
knee,16,240
affect,3,39
blunderbuss,1,6
skating,4,22
key,10,116
kinder,5,74
lies,6,94
milk,12,175
futurity,1,19
grant,1,18
discuss,1,17
trooping,1,16
vest,2,16
squint,1,14
insist,2,15
produce,4,30
breastpin,1,11
contrasting,2,14
overshoes,1,9
david,2,19
flag,1,7
fast,43,360
merrymaking,1,5
coffee,19,128
partner,4,15
check,7,78
satisfaction,48,615
pounds,1,21
ostentatiously,1,20
madamoiselle,2,20
heimweh,1,18
sits,3,22
pm,1,16
figuratively,2,22
consternation,1,14
aim,1,13
labyrinth,1,12
urn,2,19
accomplish,2,21
melted,2,16
filling,5,49
stuart,1,7
prodigious,1,6
bestows,2,22
struggle,3,35
examples,1,3
rascals,3,25
bounded,2,19
heartiness,1,22
coated,1,21
disillusioned,1,20
baggy,1,19
leaked,1,18
aquatic,1,17
spice,3,23
exit,2,17
feathered,1,14
offending,2,19
resided,1,12
spoons,2,15
seeds,3,20
ordinary,4,40
occupants,1,8
explosions,2,15
essays,1,6
puzzled,5,61
german,21,273
enjoyed,41,610
mistake,17,287
laughs,2,19
cookies,1,23
courtliness,1,22
sanctifies,1,21
claimed,1,20
revoir,1,19
masterful,1,18
dedicated,1,17
irritation,1,16
devonshire,1,15
inquiry,5,35
dispose,2,16
hesitate,1,12
blackened,1,11
fox,1,10
