Word,Occurrences,TotalSteps
unforeseen,1,8
parasol,5,11
carving,1,6
removed,3,9
confidingly,4,15
confessed,9,41
month,20,101
laid,46,266
wary,1,6
eagles,1,5
highly,9,20
pantoufles,1,3
seeing,30,119
scream,1,1
rosebud,2,11
vive,1,9
admonitory,1,8
background,1,7
nowadays,3,12
barred,1,5
masquerade,3,10
sincerest,2,9
trembling,7,28
melodramatic,7,36
matches,2,4
rosiest,2,3
neither,27,49
vale,1,5
largest,1,4
messages,5,10
places,10,28
morning,64,218
pinafores,2,5
empress,1,3
groceries,1,2
hugo,9,9
marole,1,3
remonstrated,1,2
came,271,693
erste,1,5
paired,1,4
concoction,1,3
statuary,1,2
sixty,3,5
bluntness,1,2
fitness,1,1
friendless,1,6
opens,3,7
hugs,1,4
indian,3,5
refreshing,7,16
entered,7,23
perusal,1,7
pianee,1,6
autumn,5,17
appetite,4,16
impressively,3,12
ohs,1,2
lisp,1,1
laundrywoman,1,4
balky,1,3
penances,1,2
idleness,1,1
frere,1,3
masterpiece,1,2
chestnut,8,17
simmer,1,3
frame,6,9
street,20,34
list,1,9
spritely,1,8
dressmaking,1,7
cheops,1,6
published,1,5
tops,2,9
wry,2,9
waiter,1,2
sometimes,43,245
partial,1,6
conceit,2,7
wash,14,32
armor,2,6
lent,4,16
hagar,11,31
winey,1,6
forcibly,1,5
preventive,1,4
ventures,1,3
jewels,2,3
redder,6,16
squabbled,1,6
applicable,1,5
surprisin,1,4
velour,1,3
instant,11,32
camp,8,26
defects,1,3
unquenchables,1,2
servants,12,17
placed,3,12
addressed,1,9
holes,2,11
pearls,5,18
judged,2,11
uncovered,2,11
platform,2,6
wearing,7,45
brighten,4,29
luxury,11,73
redden,1,3
quarrel,7,12
learn,45,120
effalunt,2,6
rubens,1,4
rock,1,3
ached,4,14
spilled,1,1
cakies,2,6
briton,1,4
final,3,7
travel,5,13
quite,181,594
rebelliously,3,9
publishers,2,7
brighter,2,8
exclaim,5,14
maps,3,6
carefully,23,93
cover,16,76
girlhood,1,8
orchards,1,7
dryly,1,6
dursnt,1,5
heavens,2,6
notice,10,32
ups,1,2
spell,7,25
evolved,1,6
frankness,5,13
current,1,4
attended,1,3
covet,1,2
choose,13,25
flos,2,3
injustice,2,2
intended,4,6
fatherless,1,2
speechless,2,2
dats,1,2
waited,20,23
inventor,1,6
underlies,1,5
banishing,1,4
newly,4,9
rehearsal,2,5
excellently,6,26
policy,1,9
bye,2,9
thinner,1,7
objected,3,10
blazed,2,7
bathed,1,4
tempest,2,5
pancakes,1,2
flow,3,12
verb,1,7
reposing,1,6
ventured,1,5
brings,5,15
escape,9,33
adding,15,65
share,13,66
awhile,1,3
semioccasional,1,2
privately,7,14
tenders,1,7
conquering,3,9
viciously,1,5
industrious,2,8
confessing,1,3
strength,14,37
patience,34,173
blarneystone,1,11
volcano,4,15
hymn,4,14
oil,2,10
